id;;geslacht;leeftijd;stance;stance_numeriek;oppervlakte;afstand;richting;G_29aug_blok1;M_29aug_blok1;PI_29aug_blok1;PM_29aug_blok1;G_29aug_blok2;M_29aug_blok2;PI_29aug_blok2;PM_29aug_blok2;G_30aug_blok1;M_30aug_blok1;PI_30aug_blok1;PM_30aug_blok1;G_30aug_blok2;M_30aug_blok2;PI_30aug_blok2;PM_30aug_blok2;G_30aug_blok3;M_30aug_blok3;PI_30aug_blok3;PM_30aug_blok3;G_30aug_blok4;M_30aug_blok4;PI_30aug_blok4;PM_30aug_blok4;G_31aug_blok1;M_31aug_blok1;PI_31aug_blok1;PM_31aug_blok1;G_31aug_blok2;M_31aug_blok2;PI_31aug_blok2;PM_31aug_blok2;G_31aug_blok3;M_31aug_blok3;PI_31aug_blok3;PM_31aug_blok3;G_31aug_blok4;M_31aug_blok4;PI_31aug_blok4;PM_31aug_blok4
3518;;Man;45-64 jaar;Positief;1;4649,723;582,024;Oost;43,03298187;44,71993256;0;0;52,7599144;83,70359802;0;0;45,74991608;61,37315369;0;0;46,37313843;63,2022934;0;0;44,92954636;65,44420624;0,03;1;47,15960693;57,08179855;0;0;44,88258362;52,34955597;0;0;47,30775452;63,2696991;0;0;49,43436813;57,66025162;0;0;49,93094254;58,23961639;0;0
3538;;Man;25-44 jaar;Negatief;-1;9866,341;203,26;Zuid;44,82993698;46,38766479;0;0;46,78276825;69,03443146;0;0;65,7399292;81,90749359;33,58;43;62,13841248;74,25982666;36,62;165;62,18171692;74,39862061;28,92;77;65,77378845;77,0300293;66,46;79;58,84311676;95,33144379;10,46;39;62,09365845;76,10758972;22,16;103;65,31381989;75,45157623;45,9;47;66,24552155;86,68904114;54,12;59
3543;;Man;45-64 jaar;Positief;1;1749,499;602,207;Noordoost;42,75806427;44,24356079;0;0;54,01209641;90,64951324;0,69;17;45,49843216;57,77436447;0;0;46,15117645;61,8312149;0;0;44,78681946;63,55858612;0;0;46,94504929;56,8888855;0;0;44,98562241;52,54008102;0;0;47,67884827;63,69656754;0;0;49,86682129;57,82572174;0;0;50,54679489;59,10496902;0;0
3544;;;;Negatief;-1;5195,703;155,562;Noord;42,31452942;44,06838989;0;0;43,30332565;56,57486343;0;0;57,47127151;77,99637604;14,2;22;57,40343857;70,12657166;11,61;147;57,38584137;71,04628754;11,07;55;61,3527832;78,21051788;39,91;90;55,36442566;68,26449585;1,64;18;59,28429413;76,85562134;19,05;59;62,15647125;72,64841461;48,94;59;63,69671249;74,74487305;53,44;47
3550;;Vrouw;45-64 jaar;Geen stance;;10603,801;561,763;Oost;42,95015335;45,01707458;0;0;52,62224197;87,64620209;0,42;9;45,95436096;66,78970337;0,08;1;46,46198654;67,98374939;0,06;1;44,51363373;63,46173096;0;0;46,72171783;59,36018372;0;0;44,77933884;52,91523743;0;0;47,31788635;63,81077576;0;0;49,42868042;58,28827667;0;0;49,95991898;59,30182648;0;0
3551;;Man;45-64 jaar;Negatief;-1;1506,509;265,141;Zuid;44,14170074;45,00585938;0;0;45,92028046;60,02601624;0;0;61,79298401;75,42900848;14,98;14;59,90844727;68,77183533;7,34;128;60,27212524;70,61458588;11,15;52;63,93040466;71,51972961;35,78;72;56,41721725;76,58934021;0,53;9;60,18267441;72,92021179;11,02;51;63,85705185;71,8088913;36,35;55;64,72251892;79,43985748;44,12;44
3554;;Man;45-64 jaar;Negatief;-1;3044,537;217,207;West;44,53450012;47,79949951;0;0;47,91894913;72,60206604;0,32;14;62,69078064;77,47602844;22,76;25;55,56159973;75,16550446;1,95;70;55,01131821;74,63581085;1,28;26;58,94871521;76,05436707;12,01;80;59,20900345;105,3932266;3,55;28;53,72998428;76,37274933;2,76;20;57,1619072;69,8164444;11,65;63;57,97854996;70,24884796;14,46;47
3556;;Vrouw;45-64 jaar;Negatief;-1;2918,578;259,804;Zuid;44,12748337;45,09926987;0;0;45,94649124;60,6390419;0;0;61,94419861;76,06019592;17,73;15;59,96687698;69,2564621;10,61;152;60,35676956;71,09173584;13,18;53;64,005867;71,98217773;40,16;74;56,31970596;76,47284698;0,69;10;60,20476913;73,11068726;12,23;53;63,90353394;72,14802551;38,15;55;64,78351593;81,06633759;45,74;44
3557;;;;Geen stance;;99,908;115,875;Noordwest;43,84719467;45,08535767;0;0;45,010849;56,36918259;0;0;65,68940735;79,81518555;32,16;18;61,61928177;72,02350616;16,06;168;61,41231155;70,50202942;13,68;75;65,64979553;78,58036804;46,47;95;60,89442062;70,85366058;14,57;24;62,0631485;74,84697723;17,96;67;65,39910126;72,30084229;47,93;34;66,40083313;73,90690613;51,92;44
3560;;Man;45-64 jaar;Negatief;-1;1648,471;352,546;West;44,23797607;46,53902435;0;0;46,56381226;64,6474762;0;0;58,28604507;72,66249084;5,11;15;55,07511902;70,97951508;0,83;32;54,66644669;69,02575684;0,38;8;58,67868042;70,1153717;2,24;40;55,49247742;77,31974792;0,44;5;54,37094879;70,31317902;0,28;5;58,14859009;65,76585388;0,24;10;59,02539063;66,64904785;0,72;8
3561;;Man;15-24 jaar;Negatief;-1;23669,798;271,763;Zuid;43,69516754;45,24459076;0;0;45,78753662;61,97896957;0;0;60,68684006;77,53088379;20,01;15;58,72874832;70,23955536;18,09;163;59,38443756;71,94776154;17,47;64;63,03643417;74,67617035;48,76;77;55,18740082;81,75247955;0,83;13;58,99269104;73,43656158;14,48;62;63,2123909;75,97194672;40,7;62;64,00699615;90,25637817;48,71;65
